data,data2,gyro
507,-0.029032258,110
507,-0.029032258,109
518,0.041935484,109
541,0.190322581,108
536,0.158064516,107
516,0.029032258,104
517,0.035483871,99
542,0.196774194,97
498,-0.087096774,91
506,-0.035483871,87
492,-0.125806452,84
520,0.05483871,81
518,0.041935484,79
500,-0.074193548,75
515,0.022580645,71
508,-0.022580645,62
535,0.151612903,54
510,-0.009677419,-5
480,-0.203225806,-13
519,0.048387097,-23
505,-0.041935484,-34
515,0.022580645,-44
509,-0.016129032,-51
497,-0.093548387,-68
519,0.048387097,-87
508,-0.022580645,-104
530,0.119354839,-116
549,0.241935484,123
553,0.267741935,101
530,0.119354839,84
571,0.383870968,79
480,-0.203225806,84
526,0.093548387,89
576,0.416129032,88
478,-0.216129032,92
446,-0.422580645,96
491,-0.132258065,96
602,0.583870968,101
468,-0.280645161,102
363,-0.958064516,97
583,0.461290323,97
548,0.235483871,98
446,-0.422580645,96
514,0.016129032,96
490,-0.138709677,97
470,-0.267741935,96
490,-0.138709677,102
405,-0.687096774,111
486,-0.164516129,113
568,0.364516129,116
416,-0.616129032,125
518,0.041935484,-119
550,0.248387097,-114
553,0.267741935,-112
507,-0.029032258,-106
419,-0.596774194,-102
489,-0.14516129,-87
643,0.848387097,-83
533,0.138709677,-73
425,-0.558064516,-55
567,0.358064516,-34
572,0.390322581,-13
526,0.093548387,55
500,-0.074193548,81
531,0.125806452,94
521,0.061290323,103
518,0.041935484,112
523,0.074193548,118
525,0.087096774,124
520,0.05483871,-126
532,0.132258065,-119
504,-0.048387097,-106
524,0.080645161,-98
513,0.009677419,-91
511,-0.003225806,-90
531,0.125806452,-89
498,-0.087096774,-88
511,-0.003225806,-87
496,-0.1,-85
505,-0.041935484,-84
511,-0.003225806,-84
519,0.048387097,-85
501,-0.067741935,-86
497,-0.093548387,-85
458,-0.34516129,-84
472,-0.25483871,-83
482,-0.190322581,-83
535,0.151612903,-86
506,-0.035483871,-93
522,0.067741935,-98
495,-0.106451613,-103
489,-0.14516129,-106
501,-0.067741935,-108
524,0.080645161,-112
536,0.158064516,-116
480,-0.203225806,-118
537,0.164516129,-119
524,0.080645161,-122
472,-0.25483871,-125
551,0.25483871,-128
524,0.080645161,124
513,0.009677419,120
536,0.158064516,117
545,0.216129032,115
477,-0.222580645,114
512,0.003225806,112
542,0.196774194,110
534,0.14516129,109
489,-0.14516129,108
520,0.05483871,108
527,0.1,109
510,-0.009677419,109
501,-0.067741935,109
518,0.041935484,108
517,0.035483871,107
523,0.074193548,105
511,-0.003225806,103
500,-0.074193548,101
508,-0.022580645,99
539,0.177419355,97
534,0.14516129,94
519,0.048387097,89
541,0.190322581,83
505,-0.041935484,76
513,0.009677419,67
522,0.067741935,56
514,0.016129032,-12
541,0.190322581,-25
480,-0.203225806,-38
511,-0.003225806,-51
514,0.016129032,-63
521,0.061290323,-74
488,-0.151612903,-88
516,0.029032258,-103
552,0.261290323,-117
495,-0.106451613,124
517,0.035483871,99
513,0.009677419,87
519,0.048387097,81
437,-0.480645161,77
529,0.112903226,78
562,0.325806452,83
535,0.151612903,81
522,0.067741935,80
542,0.196774194,83
425,-0.558064516,85
437,-0.480645161,79
521,0.061290323,79
531,0.125806452,92
438,-0.474193548,103
530,0.119354839,106
506,-0.035483871,110
555,0.280645161,118
389,-0.790322581,-126
505,-0.041935484,-126
536,0.158064516,125
536,0.158064516,121
531,0.125806452,127
637,0.809677419,-123
476,-0.229032258,-121
441,-0.45483871,126
635,0.796774194,-117
436,-0.487096774,-93
524,0.080645161,-80
469,-0.274193548,-88
634,0.790322581,-96
544,0.209677419,-92
407,-0.674193548,-66
610,0.635483871,-62
542,0.196774194,-62
398,-0.732258065,-63
589,0.5,-55
509,-0.016129032,-34
512,0.003225806,-14
515,0.022580645,54
515,0.022580645,72
484,-0.177419355,94
500,-0.074193548,116
520,0.05483871,-122
518,0.041935484,-114
515,0.022580645,-111
483,-0.183870968,-110
523,0.074193548,-108
530,0.119354839,-101
511,-0.003225806,-84
469,-0.274193548,-73
543,0.203225806,-63
527,0.1,-55
480,-0.203225806,-51
512,0.003225806,-51
520,0.05483871,-53
481,-0.196774194,-56
504,-0.048387097,-57
527,0.1,-58
514,0.016129032,-61
490,-0.138709677,-66
500,-0.074193548,-70
526,0.093548387,-72
451,-0.390322581,-72
491,-0.132258065,-74
541,0.190322581,-78
470,-0.267741935,-82
497,-0.093548387,-83
442,-0.448387097,-84
517,0.035483871,-88
550,0.248387097,-95
494,-0.112903226,-103
518,0.041935484,-110
528,0.106451613,-119
531,0.125806452,-124
496,-0.1,-128
501,-0.067741935,126
527,0.1,124
529,0.112903226,121
499,-0.080645161,118
511,-0.003225806,113
517,0.035483871,111
508,-0.022580645,108
501,-0.067741935,105
519,0.048387097,101
512,0.003225806,97
528,0.106451613,95
516,0.029032258,93
615,0.667741935,93
487,-0.158064516,93
508,-0.022580645,93
509,-0.016129032,93
525,0.087096774,92
506,-0.035483871,91
497,-0.093548387,87
499,-0.080645161,83
539,0.177419355,76
542,0.196774194,60
539,0.177419355,-3
532,0.132258065,-18
525,0.087096774,-31
522,0.067741935,-43
486,-0.164516129,-61
510,-0.009677419,-81
522,0.067741935,-102
508,-0.022580645,-119
505,-0.041935484,115
535,0.151612903,93
487,-0.158064516,86
524,0.080645161,87
492,-0.125806452,83
502,-0.061290323,81
490,-0.138709677,87
452,-0.383870968,93
534,0.14516129,101
476,-0.229032258,103
549,0.241935484,103
448,-0.409677419,104
471,-0.261290323,106
470,-0.267741935,104
492,-0.125806452,102
429,-0.532258065,92
587,0.487096774,92
487,-0.158064516,103
556,0.287096774,114
512,0.003225806,113
553,0.267741935,110
509,-0.016129032,112
364,-0.951612903,127
458,-0.34516129,-127
628,0.751612903,127
570,0.377419355,125
400,-0.719354839,127
501,-0.067741935,-122
559,0.306451613,-120
392,-0.770967742,-118
406,-0.680645161,-110
604,0.596774194,-90
